Listing Title,Listing Email,Listing URL,Listing Address,Listing Short Description,Listing Long Description
Sporting News Grill,N/A,https://www.225batonrouge.com/article/sporting-news-grill/,4848 Constitution Ave,A sports bar inside Holiday Inn Select off College Drive with more than 30 HD flat screens. Offers a diverse menu for a hotel restaurant in a modern-décor setting.,"Sporting News Grill is a sports bar located inside the Holiday Inn Select off College Drive. It features more than 30 HD flat screens and a staff who will cater to your menu choices and television programming picks. The grill offers a surprisingly diverse menu for a hotel restaurant, including sandwiches, steaks, seafood, a classic French Nicoise Salad, Jack Daniel’s Glazed Salmon, and 12-inch pizza pies."
Zippy's Burritos Tacos & More,N/A,https://www.zippysburritos.com/,3155 Perkins Rd,"Zippy's offers a variety of options for parties and catering, including room rentals, advance orders, and cocktail parties.","Zippy's offers room rentals, advance orders, and cocktail parties. Room rentals require a minimum of 50 people, and pricing can be obtained by calling. Advance orders require a minimum of 25 people and a $500 minimum order, plus tax and 18% gratuity, with tables saved with 48-hour notice for menu ordering. Cocktail parties also require a minimum of 25 people and a $500 minimum, plus tax and 18% gratuity, with tables saved with 48-hour notice for menu ordering. Cocktail party menu items include $11 quesadilla strips, $4.75 tacos, $3.50 flautas, $4.50 empanadas, and a $14.95 Zippy Dipper with salsa, guac, and queso. Contact Jerrica or Josh for more party information at 225-388-9000."
Palace,N/A,https://www.facebook.com/p/The-Palace-2300-100063654242996/,2310 Scenic Hwy,"The Palace 2300, Baton Rouge, Louisiana. Dance & Night Club.","The Palace 2300 is a dance and night club located in Baton Rouge, Louisiana. It has a Facebook page with 472 likes and 4810 check-ins. It is also listed on Instagram, Tripadvisor, X (formerly Twitter), Manta, and Around Airports. News articles indicate it was temporarily shut down in January 2021 for overcrowding concerns."
"TJ Ribs, Acadian",N/A,https://tjribs.com/,2324 S Acadian Thruway,Legendary Louisiana BBQ restaurant.,"TJ Ribs on Acadian Thruway is a Legendary Louisiana BBQ restaurant. They are a proud sponsor of LSU Sports. They offer catering, gift cards, and event space booking. "
Roy's Daiquiris,N/A,https://www.facebook.com/royal.daiquiris.5/,38501 Highway 42,Homemade fresh daiquiris everyday. Never a cover charge. Live bands and dj’s on weekends only!,Homemade fresh daiquiris everyday. Never a cover charge. Live bands and dj’s on weekends only!
TrickShots Sports Bar,N/A,https://trickshotssportsbar.com/,6865 Magnolia Beach Rd,Delicious Drinks and Friendly Atmosphere. Because Regular Shots are Boring!,"TrickShots Sports Bar is owned by Justin and Angela Winfree. It offers pool tables and tournaments for all skill levels, as well as league services. They have happy hour every weekday from 12pm-6pm! They also have Shuffleboard, Whiskey/Bourbon, and hold weekly events."
Walk-On’s Sports Bistreaux,N/A,https://walk-ons.com/,437 Oak Plaza Blvd,"Walk-On’s Sports Bistreaux is your home away from home. With our from-scratch dishes, wall-to-wall TVs and craft beer and cocktail lists, we make every occasion worth celebrating.","Walk-On’s Sports Bistreaux is your home away from home. With our from-scratch dishes, wall-to-wall TVs and craft beer and cocktail lists, we make every occasion worth celebrating. Our love for the game, community, and bringing the heart of a walk-on to the restaurant space began with the dreams of our Founder, Brandon Landry and his partner, Jack Warner, in 2003. We’ve worked hard over the years to create a restaurant and bar concept that pairs attention-to-detail and culinary excellence with a little Louisiana spice, pulling in that underdog mindset and hospitality, making you feel like family the moment you walk in."
Ray's Bar,N/A,https://www.raysbar.com/,4715 Bennington Ave,Permanently closed pub & bar in Baton Rouge,"Triple A Bar is a permanently closed pub & bar in Baton Rouge. The price range per person is $25-$50. It is located at 4715 Bennington Ave, Baton Rouge, Louisiana, USA."
Gameday Daiquiris,Thekehlllc@icloud.com,https://m.facebook.com/cjsdaiquiris/,4525-4599 Bennington Ave,Daiquiri Shop and Neighborhood Sports Bar,"The Facebook page promotes CJ's Daiquiris, highlighting their daiquiris and sports bar atmosphere. A recent post advertises $5.50 mimosas all day."
Chili's,welcometochilis@chilis.com,https://www.chilis.com/locations/us/louisiana/baton-rouge/baton-rouge,4550 Constitution Ave,,
Jones Creek Cafe & Oyster Bar,info@jonescreekcafe.com,https://www.jonescreekcafe.com/,15005 Market St,"Jones Creek Cafe & Oyster Bar is located in Southeast Baton Rouge, LA, serving seafood dishes. They offer Louisiana's freshest oysters, Creole Gumbo, and Charbroiled Oysters.","Jones Creek Cafe & Oyster Bar is a Baton Rouge restaurant that has been serving the area for 35 years. It offers daily lunch specials, nightly dinner specials, and Sunday brunch. Diners can choose between the family-friendly Cafe, the Oyster Bar with TVs, or the outdoor patio with a fireplace. They also offer space to host events like group meetings, banquets, and special occasion dinners."
Pluckers,dbarrish@pluckers.net,https://www.pluckers.com/,4225 Nicholson Dr,"Pluckers Wing Bar location in College Station, TX.","Pluckers in College Station offers daily specials, including $1 wings on St. Paddy's Day, $1 off Pluckers Cocktails on Sundays, 5 free wings with the purchase of 10 on Mondays, All You Can Eat Wings on Mondays, Kids Eat Free on Tuesdays, Trivia on Wednesdays, Free Appetizer on Thursdays, and Teacher Freebie Friday."
Diamondz Sports Bar & Lounge,N/A,N/A,6046 Airline Hwy,Sports Bar,N/A
Walk-On's Sports Bistreaux - Burbank Restaurant,N/A,https://walk-ons.com/,3838 Burbank Dr,Sports bar and restaurant offering scratch-made dishes and a Louisiana-rooted family atmosphere.,"Walk-On’s Sports Bistreaux is your home away from home. Our restaurant and bar offer attention to detail and culinary excellence blended with service that pulls on our Louisiana roots, making you feel like family the moment you walk in. We pride ourselves in scratch-made dishes like fresh, never-frozen seafood, burgers, salads, some Cajun/Creole specialties to add a little spice and extensive beer taps and cocktail offerings. At Walk-On's, we treat every community like it's our homecourt - making friends and supporting our neighbors. Our love of the game means we're always fun, never forced, and our doors are open to anyone."
Uncle Moe's Food Mart & Deli,N/A,N/A,5557 Plank Rd,Quick bites such as cheeseburgers and po' boys.,Convenience store offering quick bites such as cheeseburgers and po' boys.
New Orleans Original Daiquiris,N/A,https://www.nolaoriginal.com/,1006 N Airline Hwy,New Orleans Original Daiquiris serves the original and best New Orleans frozen daiquiris since 1983.,"New Orleans Original Daiquiris offers a variety of frozen daiquiri flavors, available for dine-in or to-go. The company has multiple locations with drive-through options."
Jl's,N/A,https://www.instagram.com/jlsplacebr/,1115 Bob Pettit Blvd,A great place to watch some sports and have a drink.,"A great place to watch some sports and have a drink.
Geaux Tigers!

1115 Bob Petit Blvd, Baton Rouge, Louisiana"
Walk-On's Sports Bistreaux - Prairieville Restaurant,N/A,https://walk-ons.com/,14569 Airline Hwy,Sports bar and restaurant offering scratch-made dishes and a Louisiana-rooted family atmosphere.,"Walk-On’s Sports Bistreaux is your home away from home. Our restaurant and bar offer attention to detail and culinary excellence blended with service that pulls on our Louisiana roots, making you feel like family the moment you walk in. We pride ourselves in scratch-made dishes like fresh, never-frozen seafood, burgers, salads, some Cajun/Creole specialties to add a little spice and extensive beer taps and cocktail offerings. At Walk-On's, we treat every community like it's our homecourt - making friends and supporting our neighbors. Our love of the game means we're always fun, never forced, and our doors are open to anyone."
Coleman's Daiquiri & Liquor,N/A,https://www.facebook.com/pages/Coleman's%20Daiquiri/116411289801547/,1472 Harding Blvd,Coleman's Daiquiri is a sports bar.,"Coleman's Daiquiri is a sports bar located at 1472 Harding Blvd, Baton Rouge, LA 70807. It has a price range of $$. It was created on November 9, 2019. Recent posts mention karaoke nights and events related to Southern University Homecoming."
The Pit Sports Bar & Daiquiris,thepittoo@yahoo.com,http://www.thepittoo.com/,3495C Hwy 75,The Pit Sports Bar & daiquiris,"The Pit Too is a sports bar that offers pizza, beer, and wings."
Devics Bar Baton Rouge,contact@duvicsbar.com,https://duvicsbar.com/,2854 Kalurah St,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin diam justo, scelerisque non felis porta, placerat vestibulum nisi. Vestibulum ac elementum massa. In rutrum quis risus quis sollicitudin.","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text."
Great American Grill,reservations@gagrill.com,https://gagrill.com/,3330 Harding Blvd,"Classic American cuisine, exceptional cocktails, and vibrant live entertainment.","Great American Grill in Hilmar, CA, offers a delightful blend of classic American cuisine, exceptional cocktails, and vibrant live entertainment in a charming venue perfect for any occasion."
On the Half Shell,N/A,https://www.onthehalfshell.biz/,37390 Perkins Rd,"Local seafood restaurant and live music hot spot for over 20 years. Serving fresh Louisiana seafood with a variety of other options to satisfy your tastebuds. All in a fun, family friendly atmosphere.","On The Half Shell, has been a local seafood restaurant and live music hot spot for over 20 years. Serving fresh Louisiana seafood with a variety of other options to satisfy your tastebuds. All in a fun, family friendly atmosphere.

Located conveniently in Prairieville,LA at the East Baton Rouge Parish line.

We offer daily lunch specials, a full lunch menu, dinner & Sunday brunch.

Live music is available  Tuesday - Saturday evenings & Sunday during brunch.

Visit our Live Music Calendar to see the full schedule.

Ask about special catering options for your next large group event in the Perkins Room.

Reservation and Catering information is available by calling 225-673-1951."
Hooters,N/A,https://www.hooters.com/locations/31509-denham-springs,254 Range 12 Blvd,"Chicken Wings & Sports Bar in Denham Springs, Louisiana","Enjoy world famous wings and a great beer selection at Hooters of Denham Springs. Eat-in or carryout, the best food in Louisiana can always be found right in Denham Springs. Daily happy hour specials, drink specials and craft beer on tap."
Chili's,welcometochilis@chilis.com,https://www.chilis.com/locations/us/louisiana/baton-rouge/millerville,1615 Millerville Rd,"Tex Mex, Bar & Grill, Family Restaurant","Chili's Grill & Bar in Millerville, LA is a Tex Mex style restaurant that offers Delivery. It has happy hour Monday to Friday: 3:00 PM - 6:00 PM and Saturday & Sunday: All Day. Happy hour includes discounts on Bud Light, Miller Lite, Coors Light, Modelo, Michelob Ultra and House Red & White Wine."
Buffalo Wild Wings,support@blazinrewards.com,https://www.buffalowildwings.com/en/locations/detail/0284,3260 Highland Road 2 & 3,N/A,N/A
Smack-a-Roos Sports Bar & Grill,N/A,https://www.mapquest.com/us/louisiana/smack-a-roos-sports-bar-grill-543346204,22930 hwy 1,Sports Bar & Grill,"Smack-a-Roos Sports Bar & Grill is a lively establishment in Plaquemine, LA, offering a casual dining experience with a focus on sports entertainment. Guests can enjoy a variety of pub-style food and drinks while watching their favorite teams compete on multiple screens throughout the venue."
Chili's,welcometochilis@chilis.com,https://www.chilis.com/locations/us/louisiana/denham-springs/denham-springs,135 Rushing Rd W,"Tex Mex, Bar & Grill, Family Restaurant","Chili's Grill & Bar in Rushing Rd, LA is a Tex Mex style restaurant that offers Delivery. It has happy hour Monday to Friday: 3:00 PM - 6:00 PM and Saturday & Sunday: All Day. Happy hour includes discounts on Bud Light, Miller Lite, Coors Light, Modelo, Michelob Ultra and House Red & White Wine."
Death Valley Daiquiri,deathvalleydaiquiris225@gmail.com,https://www.225liveevents.com/venue/detail/Death-Valley-Daiquiri/1554,5201 Nicholson Dr,"A spot to grab a drink, known for daiquiris.","Awesome little spot to grab a drink with coworkers after work! Chad the owner is the best and the prices are very reasonable. They have a wide selection of daiquiris, and they are all delicious!"
Grown Vibes Lounge & Grill,Grownvibesbr@gmail.com,http://www.grownvibes.com,1962 O'Neal Ln,"Grown Vibes Lounge is categorized as Karaoke, Entertainment Event, and Bar/pub.",N/A
City Slice Pizza & Pints,N/A,https://cityslicepizza.com/,124 W Chimes St,Contact information and booking for City Slice Pizza.,"The page provides a contact form for booking parties and lists the location, phone number, and hours of operation for City Slice Pizza at 124 West Chimes Street, Baton Rouge, LA 70802. The phone number is (225) 388-5454. Links to the menu and online ordering are also provided, as well as links to their Facebook, Instagram, and YouTube pages."
Luke Tant,N/A,N/A,3347 Highland Rd,N/A,N/A
Gnarly Barley Brewing,info@gnarlybarley.com,https://gnarlybeer.com/,1709 Corbin Rd,Explore our journey from humble beginnings in a garage to becoming one of Louisiana's most celebrated craft breweries. Discover our passion for brewing and our commitment to quality.,"Our Journey from Garage to Brewery
Gnarly Barley Brewing Co. originated from the home of Zac and Cari Caramonta. What started in a cramped garage, surrounded by two fat cats and a halfpipe, quickly grew into a passion for crafting exceptional beers. Zac began homebrewing as an exploration into the brewing process after experiencing exceptional craft beers. His mission was to create beers just as excellent as those that inspired him. The Korova Milk Porter and the Hoppopotamus IPA debuted at the 2011 New Orleans on Tap Beer Festival. Encouraged by positive feedback and connections made at local festivals, Zac and Cari opened a 14,000 square foot brewery in Hammond, Louisiana in 2014.."
Low Road Brewing,N/A,https://www.lowroadbrewing.com/,1110 C M Fagan Dr,Low Road Brewing has ceased operations.,Low Road Brewing has ceased operations as of 12/31/2024. No further information is available.
Black Dog Cigar,ken@blkdogcigar.com,http://www.blkdogcigar.com/,842 West Main St,"Cigar shop with a walk-in humidor and full bar, sharing space with E & E Sports Bar.","In conjunction with the E&E Sports Bar, Full bar and courtyard. Open 10:00 Tues thru Sat. Covered open courtyard with big screen TVs. Walk-in Humidor, Full Bar. Located in New Iberia, LA. Shares space with E & E Sports Bar. Has a walk-in humidor and full bar. Offers premium cigar bundles and cigar related stuff. Has a covered open courtyard with big screen TVs."
Cigar Club,N/A,https://www.instagram.com/mo_cigarbar/,701 W Airline Hwy,"Members Only Cigar Bar in Laplace, Louisiana. Grown & Sexy Cigar Bar for drinks and Cigar Enthusiasts.","Members Only Cigar Bar (Laplace, La)
Grown & Sexy Cigar Bar for drinks and Cigar Enthusiasts
Open Weekdays 4PM - 11 PM"
Paradise Cigars and Tobacco,N/A,https://www.facebook.com/paradise.cigars.and.tobacco/,719 S Burnside Ave,N/A,N/A
Jack's Place,jillnbct@gmail.com,https://www.facebook.com/JacksPlace102/,102 S Jefferson Ave,Jack's Place is a Pool & Billiard Hall.,"Bingo every Wednesday @ Jack’s Place!!! Starts at 7:30PM, $5 Per Card or 5 for $20, 100% Payout"
Rockstar Singing Telegrams,jeff@rockstarsingingtelegrams.com,https://www.rockstarsingingtelegrams.com/,N/A,Rockstar Singing Telegrams is proven to make birthdays and special events ROCK!,"We know this is a “once in a lifetime” experience for them, that’s why we provide the best performers and deliver a show they will never forget. You get a seasoned pro musician who was born to deliver an unforgettable performance. Includes a rose or chocolate and a balloon!"
Baby 4,N/A,N/A,N/A,N/A,N/A
Red Stick Music,info@redstickmusic.com,https://www.redstickmusic.com/,N/A,Baton Rouge’s go-to source for live music events since 2014.,"Since 2014, Red Stick Music has been Baton Rouge’s go-to source for live music events. Our platform showcases the vibrant music scene in and around the city, offering a comprehensive calendar that helps both locals and visitors discover shows, festivals, and performances from all genres.
Red Stick Music is a trademark of FourLeafAudio LLC, owned by Christopher and Caitlen Odell, passionate audio engineers and avid live music enthusiasts. Driven by our love for live performances and dedication to the Baton Rouge community, we saw the need for a single, organized space where local music lovers could easily discover all the live events happening around them. 
Our mission is simple: to help the local music scene thrive by connecting artists, venues, and audiences through one comprehensive platform."
Raising Cane's River Center,N/A,https://raisingcanesrivercenter.com/,275 S River Rd,Welcome to the Raising Cane's River Center!,"Welcome to the Raising Cane's River Center website! We are delighted to invite you to explore our vibrant campus, which houses three exceptional venues for your entertainment and event needs. Immerse yourself in the diverse offerings of the Raising Cane's River Convention Center, experience world-class performances at the River Center Theatre for Performing Arts, and witness thrilling events at the Raising Cane's River Center Arena. We look forward to providing you with unforgettable experiences across our dynamic venues.
"
Ivar's Sports Bar & Grill,Ivarssportsbar@gmail.com,https://www.facebook.com/ivars.bar/,2954 Perkins Rd,Neighborhood sports bar,"Cold beer and hot crawfish at 3pm, we got the big ones"
The Tunnel,N/A,https://www.thetunnelbr.com/,201 Lafayette St,"A historic speakeasy located below the Hilton Capitol Center in Baton Rouge, LA, known for its connection to Huey P. Long's political life.","Below the Historic Hilton Capitol Center lies a secret tunnel that many have heard about, few have seen. The tunnel is steeped in history and played an important role during Huey P. Long’s political life. Completed in the late 20’s , the tunnel served as a connector between two hotels and allowed the opulent, full-service Heidelberg Hotel to create a similar experience for the smaller King hotel across the street including room service, valet, and laundry services.
Later, The Tunnel became known as “Peacock Alley” as it was adorned with ornate mosaic tiles and was also widely used by hotel guests and clientele. Huey P. Long worked and stayed in the Heidelberg throughout his career and even conducted business from his suite while under a looming impeachment from his Governorship. The media frenzy often caused the need for a quick escape, which The Tunnel provided."
Tropical Lounge,tropical_lounge@yahoo.com,https://www.facebook.com/p/TROPICAL-LOUNGE-BATON-ROUGE-100063547173665/,10455 Rieger Rd,AUTHENTIC PUERTO RICAN CUISINE,N/A
Bella Noche,N/A,https://www.facebook.com/bella.noche.1671,8190 Plank Rd,"Nightclub and bar offering food, beer, and cocktails in a casual atmosphere.","Come experience the best concerts, parties & events Baton Rouge offers. 3 bars, VIP sections & the largest dance floor in the city. Best Country music and Zydeco in town. Drink prices are as low as it gets, live music, DJ plays all different types of music after band is done performing. Club Bella Noche' *8190 Plank Rd @Harding Blvd*. 21+ ladies & gents. Book parties or event info, 225-916-2827 TwinTaylor · Available Sections for tomorrow night."
Patio Lounge,N/A,N/A,8743 Jefferson Hwy,N/A,N/A
SKY LOUNGE,skylounge4564@gmail.com,SkyloungeBR.com,4564 Bennington Ave,"Sky Lounge is Baton Rouge's newest upscale bar. Offering great vibes, drinks, and delicious food.","Sky Lounge is Baton Rouge's newest upscale bar. Offering great vibes, drinks, and delicious food. Located on 4564 Bennington Avenue, Baton Rouge, LA, 70808."
Backstreet Lounge,N/A,N/A,845 Madeline Ct,N/A,N/A
BR.cade,events@brcade.com,https://brcade.com/,2963 Government St,Mid-city Baton Rouge's Adult Arcade and Bar.,"BR.cade is a Baton Rouge, Louisiana arcade & bar. Play all of your favorite classic arcade games — and leave the quarters at home! BR.cade video arcade games are always on free play — just pay cover at the door, and you’re in for the entire night. Free entry during happy hours Monday - Friday. BR.cade is an adult drinking environment — under no circumstances are minors allowed."
The River Room,info@riverroombatonrouge.com,https://www.riverroombatonrouge.com,222 Laurel St,"Website for River Room, potentially a restaurant or event venue.","The website appears to be for a venue called River Room, offering menus, specials, and event booking. The site also includes a map."
Hayride Scandal,hello@hayridescandal.com,https://www.hayridescandal.com/,5110 Corporate Blvd,A new twist on legendary libations.,"Hidden away amid the bustle of Baton Rouge is Hayride Scandal.

A living, loving tribute to the heyday of mayhem. To our loyal patrons, we’re known for our intoxicating atmosphere, eclectic music, compelling beer list and tantalizing menu.

But, what we’re famous for is our whiskey-forward craft cocktails

Culled from original recipes and reimagined for the modern-day palate."
